0.56,9.4,5
0.68,9.8,5
0.65,9.8,5
0.58,9.8,6
0.56,9.4,5
0.56,9.4,5
0.46,9.4,5
0.47,10,7
0.57,9.5,7
0.8,10.5,5
0.54,9.2,5
0.8,10.5,5
0.52,9.9,5
1.56,9.1,5
0.88,9.2,5
0.93,9.2,5
0.75,10.5,7
1.28,9.3,5
0.5,9,4
1.08,9.2,6
0.53,9.4,6
0.65,9.7,5
0.91,9.5,5
0.53,9.4,5
0.63,9.7,6
0.56,9.3,5
0.59,9.5,5
0.91,9.5,5
0.55,9.4,5
0.59,9.8,6
0.54,10.1,5
0.57,10.6,6
0.66,9.8,5
0.52,9.4,6
0.55,9.2,5
0.55,9.6,6
0.6,10.8,6
0.73,9.7,7
0.48,9.8,4
0.83,10.5,5
0.83,10.5,5
0.51,9.3,4
0.9,10.5,6
1.2,10.3,5
0.52,9.5,5
0.56,13.1,4
0.73,9.2,5
0.58,9.5,5
0.56,9.2,5
0.58,9.2,5
0.74,9.2,5
0.63,9.4,6
0.64,9.4,6
0.56,9.4,5
0.63,10.2,6
0.53,9.5,5
0.63,9.6,5
0.77,9.4,5
0.59,10,5
0.54,9.4,6
0.64,9.2,5
0.71,9.3,5
0.62,9.5,7
0.57,9.8,5
0.39,10.9,5
0.39,10.9,5
0.58,9.6,5
0.58,10.7,5
0.79,10.7,5
0.95,10.5,6
0.54,9.5,6
0.48,9.5,5
0.48,9.5,5
0.53,9.2,4
0.82,9.6,5
0.66,10.5,5
0.66,10.5,5
0.55,10.7,6
0.52,10.1,5
1.12,9.1,4
0.56,9.2,5
1.28,9.4,5
0.57,9.1,5
1.14,9.4,5
0.78,10.3,6
0.59,10.1,5
1.95,9.9,6
0.64,9.6,5
1.22,9.5,5
0.53,9,5
0.54,9.5,5
1.95,9.9,6
1.98,9.8,5
0.64,9.6,5
0.48,10.5,4
0.6,12.9,6
0.56,10.7,5
0.63,9.2,5
0.56,9.8,5
0.59,9,6
0.61,10.2,6
0.56,10.4,6
0.59,9,6
0.51,9.2,5
0.48,9.4,5
0.51,9.2,5
1.31,9.3,5
0.79,9.3,5
0.8,9.6,6
0.69,9.3,5
0.93,9.5,5
0.66,9.8,5
0.66,9.8,5
0.67,9.7,6
0.93,9.5,5
0.63,10.5,6
0.61,10,6
0.5,9.4,6
0.6,10.9,6
0.54,9.2,6
0.57,9,5
0.6,10.9,6
0.52,9.2,5
0.53,9.5,5
0.48,9.5,5
0.7,9.4,5
0.49,10.9,5
0.48,10.9,5
0.92,10.5,7
0.57,9.4,5
0.66,9.4,5
0.63,13,5
0.63,13,5
0.58,9.8,6
0.55,9.9,6
